prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price,pprice
162,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/29/2023,PKR1.3 Crore,13000000
163,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/29/2023,PKR1.35 Crore,13500000
164,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,6/29/2023,PKR1.85 Crore,18500000
165,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,350 Sq. Yd.,For Sale,6/29/2023,PKR1.7 Crore,17000000
166,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",4,3,411 Sq. Yd.,For Sale,6/28/2023,PKR8 Crore,80000000
167,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,416 Sq. Yd.,For Sale,6/28/2023,PKR7.49 Crore,74900000
168,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,400 Sq. Yd.,For Sale,6/28/2023,PKR6.5 Crore,65000000
169,Flat,Sindh,Karachi,"Clifton, Karachi, Sindh",3,2,149 Sq. Yd.,For Sale,6/28/2023,PKR3 Crore,30000000
170,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,120 Sq. Yd.,For Sale,6/28/2023,PKR6.3 Crore,63000000
171,House,Sindh,Karachi,"Cantt, Karachi, Sindh",5,5,375 Sq. Yd.,For Sale,6/28/2023,PKR7.25 Crore,72500000
172,Flat,Sindh,Karachi,"Kashmir Colony, Karachi, Sindh",2,2,87 Sq. Yd.,For Sale,6/28/2023,PKR42 Lakh,420000000
173,Flat,Sindh,Karachi,"Jamshed Town, Karachi, Sindh",2,2,87 Sq. Yd.,For Sale,6/28/2023,PKR42 Lakh,420000000
174,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/30/2023,PKR1.95 Crore,19500000
175,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/30/2023,PKR1.8 Crore,18000000
176,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/30/2023,PKR1.55 Crore,15500000
177,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/30/2023,PKR1.6 Crore,16000000
178,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR3.5 Crore,35000000
179,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,6/29/2023,PKR10.5 Crore,105000000
180,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,3,189 Sq. Yd.,For Sale,6/29/2023,PKR2.75 Crore,27500000
181,Upper Portion,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",3,3,256 Sq. Yd.,For Sale,6/29/2023,PKR2.6 Crore,26000000
182,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/29/2023,PKR67 Lakh,670000000
183,Flat,Sindh,Karachi,"Cantt, Karachi, Sindh",6,5,375 Sq. Yd.,For Sale,6/29/2023,PKR8.25 Crore,82500000
184,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,3,244 Sq. Yd.,For Sale,6/29/2023,PKR5.85 Crore,58500000
185,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/29/2023,PKR1.7 Crore,17000000
186,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,122 Sq. Yd.,For Sale,6/29/2023,PKR55 Lakh,550000000
187,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.65 Crore,16500000
188,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,122 Sq. Yd.,For Sale,6/29/2023,PKR60 Lakh,600000000
189,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/29/2023,PKR1.4 Crore,14000000
190,Flat,Sindh,Karachi,"P & T Colony, Karachi, Sindh",3,3,181 Sq. Yd.,For Sale,6/28/2023,PKR70 Lakh,700000000
